fecha,linea,estacion,mes,anio,post_boleto,afluencia_boleto,afluencia_gratuidad,afluencia_prepago,afluencia_total
2021-01-01,1,BALBUENA,ENERO,2021,0,1848,325,790,2963
2021-01-01,1,BALDERAS,ENERO,2021,0,1103,651,922,2676
2021-01-01,1,BOULEVARD PUERTO AEREO,ENERO,2021,0,4890,1053,2797,8740
2021-01-01,1,CANDELARIA,ENERO,2021,0,0,1127,1605,2732
2021-01-01,1,CHAPULTEPEC,ENERO,2021,0,4480,162,2942,7584
2021-01-01,1,CUAUHTEMOC,ENERO,2021,0,857,654,998,2509
2021-01-01,1,GOMEZ FARIAS,ENERO,2021,0,18598,941,3647,23186
2021-01-01,1,INSURGENTES,ENERO,2021,0,3631,323,3358,7312
2021-01-01,1,ISABEL LA CATOLICA,ENERO,2021,0,1628,450,795,2873
2021-01-01,1,JUANACATLAN,ENERO,2021,0,355,250,452,1057
2021-01-01,1,MERCED,ENERO,2021,0,6114,1290,2466,9870
2021-01-01,1,MOCTEZUMA,ENERO,2021,0,2027,477,1878,4382
2021-01-01,1,OBSERVATORIO,ENERO,2021,0,5301,1214,6245,12760
2021-01-01,1,PANTITLAN,ENERO,2021,0,5138,142,3359,8639
2021-01-01,1,PINO SUAREZ,ENERO,2021,0,2987,765,2143,5895
2021-01-01,1,SALTO DEL AGUA,ENERO,2021,0,1143,738,895,2776
2021-01-01,1,SAN LAZARO,ENERO,2021,0,0,915,3335,4250
2021-01-01,1,SEVILLA,ENERO,2021,0,4028,455,1801,6284
2021-01-01,1,TACUBAYA,ENERO,2021,0,1972,864,2169,5005
2021-01-01,1,ZARAGOZA,ENERO,2021,0,3281,737,4067,8085
2021-01-01,12,ATLALILCO,ENERO,2021,0,0,836,1141,1977
2021-01-01,12,CALLE 11,ENERO,2021,0,0,311,2063,2374
2021-01-01,12,CULHUACAN,ENERO,2021,0,0,1303,2591,3894
2021-01-01,12,EJE CENTRAL,ENERO,2021,0,0,373,1078,1451
2021-01-01,12,ERMITA,ENERO,2021,0,0,508,810,1318
2021-01-01,12,HOSPITAL 20 DE NOVIEMBRE,ENERO,2021,0,0,733,832,1565
2021-01-01,12,INSURGENTES SUR,ENERO,2021,0,0,1128,2243,3371
2021-01-01,12,LOMAS ESTRELLA,ENERO,2021,0,0,445,1236,1681
2021-01-01,12,MEXICALTZINGO,ENERO,2021,0,0,1022,1734,2756
2021-01-01,12,MIXCOAC,ENERO,2021,0,0,367,1322,1689
2021-01-01,12,NOPALERA,ENERO,2021,0,0,1235,4490,5725
2021-01-01,12,OLIVOS,ENERO,2021,0,0,641,2883,3524
2021-01-01,12,PARQUE DE LOS VENADOS,ENERO,2021,0,0,1392,809,2201
2021-01-01,12,PERIFERICO ORIENTE,ENERO,2021,0,0,2055,2552,4607
2021-01-01,12,SAN ANDRES TOMATLAN,ENERO,2021,0,0,210,1504,1714
2021-01-01,12,TEZONCO,ENERO,2021,0,0,385,3797,4182
2021-01-01,12,TLAHUAC,ENERO,2021,0,0,2269,3994,6263
2021-01-01,12,TLALTENCO,ENERO,2021,0,0,0,751,751
2021-01-01,12,ZAPATA,ENERO,2021,0,0,177,1103,1280
2021-01-01,12,ZAPOTITLAN,ENERO,2021,0,0,0,2293,2293
2021-01-01,2,ALLENDE,ENERO,2021,0,978,311,513,1802
2021-01-01,2,BELLAS ARTES,ENERO,2021,0,572,66,292,930
2021-01-01,2,CHABACANO,ENERO,2021,0,6511,1124,2265,9900
2021-01-01,2,COLEGIO MILITAR,ENERO,2021,0,1646,397,616,2659
2021-01-01,2,CUATRO CAMINOS,ENERO,2021,0,7147,1536,9338,18021
2021-01-01,2,CUITLAHUAC,ENERO,2021,0,2916,537,1014,4467
2021-01-01,2,ERMITA,ENERO,2021,0,1283,198,759,2240
2021-01-01,2,GENERAL ANAYA,ENERO,2021,0,815,303,1165,2283
2021-01-01,2,HIDALGO,ENERO,2021,0,808,1155,1816,3779
2021-01-01,2,NATIVITAS,ENERO,2021,0,995,611,1687,3293
2021-01-01,2,NORMAL,ENERO,2021,0,1542,539,1822,3903
2021-01-01,2,PANTEONES,ENERO,2021,0,427,301,903,1631
2021-01-01,2,PINO SUAREZ,ENERO,2021,0,246,716,862,1824
2021-01-01,2,POPOTLA,ENERO,2021,0,1327,153,327,1807
2021-01-01,2,PORTALES,ENERO,2021,0,1333,632,1217,3182
2021-01-01,2,REVOLUCION,ENERO,2021,0,736,620,1750,3106
2021-01-01,2,SAN ANTONIO ABAD,ENERO,2021,0,184,414,1288,1886
2021-01-01,2,SAN COSME,ENERO,2021,0,979,456,1128,2563
2021-01-01,2,TACUBA,ENERO,2021,0,1886,833,2269,4988
2021-01-01,2,TASQUENA,ENERO,2021,0,4205,767,5044,10016
2021-01-01,2,VIADUCTO,ENERO,2021,0,488,499,993,1980
2021-01-01,2,VILLA DE CORTES,ENERO,2021,0,647,314,869,1830
2021-01-01,2,XOLA,ENERO,2021,0,1366,454,1096,2916
2021-01-01,2,ZOCALO/TENOCHTITLAN,ENERO,2021,0,277,207,392,876
2021-01-01,3,BALDERAS,ENERO,2021,0,194,191,273,658
2021-01-01,3,CENTRO MEDICO,ENERO,2021,0,0,506,1881,2387
2021-01-01,3,COPILCO,ENERO,2021,0,1671,433,2203,4307
2021-01-01,3,COYOACAN,ENERO,2021,0,1086,258,1233,2577
2021-01-01,3,DEPORTIVO 18 DE MARZO,ENERO,2021,0,0,655,2342,2997
2021-01-01,3,DIVISION DEL NORTE,ENERO,2021,0,1052,306,923,2281
2021-01-01,3,ETIOPIA/PLAZA DE LA TRANSPARENCIA,ENERO,2021,0,89,435,2164,2688
2021-01-01,3,EUGENIA,ENERO,2021,0,952,260,878,2090
2021-01-01,3,GUERRERO,ENERO,2021,0,1167,685,883,2735
2021-01-01,3,HIDALGO,ENERO,2021,0,483,499,1258,2240
2021-01-01,3,HOSPITAL GENERAL,ENERO,2021,0,3443,668,1482,5593
2021-01-01,3,INDIOS VERDES,ENERO,2021,0,11674,2201,11393,25268
2021-01-01,3,JUAREZ,ENERO,2021,0,1548,259,594,2401
2021-01-01,3,LA RAZA,ENERO,2021,0,2804,1169,2044,6017
2021-01-01,3,MIGUEL ANGEL DE QUEVEDO,ENERO,2021,0,2156,571,2663,5390
2021-01-01,3,NINOS HEROES,ENERO,2021,0,1627,312,858,2797
2021-01-01,3,POTRERO,ENERO,2021,0,375,395,1716,2486
2021-01-01,3,TLATELOLCO,ENERO,2021,0,422,490,1817,2729
2021-01-01,3,UNIVERSIDAD,ENERO,2021,0,5790,568,3743,10101
2021-01-01,3,VIVEROS/DERECHOS HUMANOS,ENERO,2021,0,4157,254,1426,5837
2021-01-01,3,ZAPATA,ENERO,2021,0,1143,472,1526,3141
2021-01-01,4,BONDOJITO,ENERO,2021,0,353,202,324,879
2021-01-01,4,CANAL DEL NORTE,ENERO,2021,0,1731,177,413,2321
2021-01-01,4,CANDELARIA,ENERO,2021,0,598,492,184,1274
2021-01-01,4,CONSULADO,ENERO,2021,0,181,165,204,550
2021-01-01,4,FRAY SERVANDO,ENERO,2021,0,654,230,401,1285
2021-01-01,4,JAMAICA,ENERO,2021,0,926,250,360,1536
2021-01-01,4,MARTIN CARRERA,ENERO,2021,0,91,537,1669,2297
2021-01-01,4,MORELOS,ENERO,2021,0,2190,614,242,3046
2021-01-01,4,SANTA ANITA,ENERO,2021,0,131,134,121,386
2021-01-01,4,TALISMAN,ENERO,2021,0,313,118,281,712
2021-01-01,5,ARAGON,ENERO,2021,0,814,377,577,1768
2021-01-01,5,AUTOBUSES DEL NORTE,ENERO,2021,0,653,613,2755,4021
2021-01-01,5,CONSULADO,ENERO,2021,0,331,610,316,1257
2021-01-01,5,EDUARDO MOLINA,ENERO,2021,0,498,297,607,1402
2021-01-01,5,HANGARES,ENERO,2021,0,0,79,299,378
2021-01-01,5,INSTITUTO DEL PETROLEO,ENERO,2021,0,0,0,332,332
2021-01-01,5,LA RAZA,ENERO,2021,0,0,306,695,1001
2021-01-01,5,MISTERIOS,ENERO,2021,0,1669,203,584,2456
2021-01-01,5,OCEANIA,ENERO,2021,0,844,271,622,1737
